Id;Type;Date;FirstName;LastName;City
1;Invoice;2022-11-24;Roseline;Ahab;Belmopan
2;Order;2022-02-15;Leia;Virgin;N'Djamena
3;Invoice;2022-10-24;Chrystel;Vale;Mamoudzou
4;Order;2022-10-23;Melina;Bergman;Saint-Pierre
5;Order;2022-05-14;Mara;Hurley;Lubumbashi
6;Receipt;2022-01-01;Zaria;Francene;Helsinki
7;Order;2022-04-12;Kalina;Vernier;Bahía Blanca
8;Receipt;2022-10-09;Florie;Zuzana;Omsk
9;Receipt;2022-06-17;Patricia;Ellerey;Cuiabá
10;Invoice;2022-09-11;Miquela;Thema;Bandung
11;Invoice;2022-05-25;Kathi;Cavan;Niamey
12;Invoice;2022-07-31;Joane;Elbertina;Anchorage
13;Order;2022-04-06;Harrietta;Pulsifer;Dededo
14;Invoice;2022-05-24;Britni;Tengdin;Faisalabad
15;Invoice;2022-09-11;Penelopa;Mike;Lisbon
16;Order;2022-01-03;Madalyn;Sikorski;Timbuktu
17;Receipt;2022-09-07;Danny;Himelman;Gold Coast
18;Order;2022-11-15;Max;Jethro;Padang
19;Receipt;2022-11-04;Katharina;Ingra;Kaohsiung
20;Receipt;2022-03-19;Fernande;Janith;Apia
21;Order;2022-11-19;Libbie;Martguerita;Kathmandu
22;Order;2022-01-08;Charlena;Alejoa;Providence
23;Invoice;2022-07-17;Jennica;Wallis;Suva
24;Invoice;2022-10-20;Kial;Pandolfi;Philadelphia
25;Receipt;2022-10-17;Netty;Madelene;N'Djamena
26;Receipt;2022-12-26;Fred;Boehike;Cardiff
27;Order;2022-05-22;Sheelagh;Gale;Strasbourg
28;Receipt;2022-12-17;Anallese;Garek;Chongjin
29;Receipt;2022-06-18;Minne;Leopold;Damascus
30;Order;2022-02-24;Rosaline;Joli;Pyongyang
31;Receipt;2022-11-01;Alyda;Jena;Albuquerque
32;Receipt;2022-09-28;Cissiee;Timon;Chittagong
33;Invoice;2022-02-19;Steffane;Bluh;Zhengzhou
